PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
234449,"I've been playing at an affair with a younger guy, trying to not let it get serious. Now, I'm hopelessly in love with him, and I either leave my husband and precious kids, or I give him up, which would rip my heart out.",ve playing affair younger guy hopelessly love leave husband precious kids give rip heart ,0,love husband sex good years,-0.2,NEU,0.57,DISAGREEMENT,357,59,654,1070
268547,I'm making more money than I ever did being an escort. I wish DH knew and was okay with it. Life couldn't be much sweeter than that.,making money escort dh knew life couldn sweeter ,0,love husband sex good years,-0.1,NEU,0.7,DISAGREEMENT,357,59,654,1070
213613,I love licking my wife's asshole. It's naughty and it makes her cum hard. That's a special kind of awesome.,love licking wife asshole naughty makes cum hard special kind awesome ,0,love husband sex good years,N,N,N,N,120,24,719,863
76439,Why am I ALWAYS horny when my husband isn't home????,horny husband isn home ,0,love husband sex good years,N,N,N,N,41,4,558,603
181724,"Looking at the wedding pictures of my first love makes me sad. I love my husband (and my DH treats me so so much better than he did), but his two sisters were my best friends and his family would have made great in-laws.",wedding pictures love makes sad love husband dh treats sisters friends family made great laws ,0,love husband sex good years,0.42,P,0.71,DISAGREEMENT,39,3,497,539
219794,My fianc? and I had a threesome. I watched a man suck his big cock and it ended by me watching my fianc? fuck the shit out of him. It was HOTTEST threesome ever!!!,fianc threesome watched man suck big cock ended watching fianc fuck shit hottest threesome ,0,love husband sex good years,-0.87,N+,0.09,AGREEMENT,30,14,457,501
238382,"Client saw my monthly business newsletter and teased me because I wrote ""alot"" instead of ""a lot."" Hes a teacher, so hes allowed to tease me about it. that and hes sexy. damn, sexy. did i mention sexy?! mmmm sexy",client monthly business newsletter teased wrote alot lot hes teacher hes allowed tease hes sexy damn sexy mention sexy mmmm sexy ,0,love husband sex good years,0.8,P+,0,AGREEMENT,30,14,457,501
239478,...and he's back. And still everything I've ever wanted. I'm in so far over my head here. We are both married and there is no way this will end well but I can't stay away.,back ve wanted head married end stay ,0,love husband sex good years,0.6,P,0,AGREEMENT,30,14,457,501
259369,"Often I think there is no way he loves me, and I wonder what he really wants with me. Praying every day that I can learn to love myself, so that I can stop doubting his love for me & be really happy.",loves praying day learn love stop doubting love happy ,0,love husband sex good years,0,NEU,0.8,DISAGREEMENT,30,14,457,501
204116,"Started masterbating when I was 15, used a hair brush handle and it broke my hymen. When I had sex for the first time, my bf didn't believe I was a virgin even after I explained what happened.",started masterbating hair brush handle broke hymen sex time bf didn virgin explained happened ,0,love husband sex good years,0.8,P+,0,AGREEMENT,26,5,410,441
274389,"Dh is well respected.If I tell anyone how many times he cheated on me prior to our 1 year marriage they won't believe me. He paints a good guy, loving dad image to everyone. He is NEITHER!",dh respected times cheated prior year marriage won paints good guy loving dad image ,0,love husband sex good years,0.65,P+,0.1,AGREEMENT,26,5,410,441
275472,I love being a Wife and Mother. But sometimes I miss the old me.,love wife mother miss ,0,love husband sex good years,N,N,N,N,26,5,410,441
221214,I my whole life i had sex with only 2 people! I really wish it wasn't like that.,life sex people wasn ,0,love husband sex good years,N,N,N,N,25,131,283,439
291522,I hate my ex but would LOVE for him to eat me just one more time. DF is horrible at it..... After 6 years smh.,hate love eat time df horrible years smh ,0,love husband sex good years,N,N,N,N,25,131,283,439
245224,Haven‰Û_ seen him in two weeks and I miss his touch more than I should. I don‰Û_ think he misses me nearly as much. I want to curl up in a ball and disappear.,haven weeks miss touch don misses curl ball disappear ,0,love husband sex good years,N,N,N,N,25,131,283,439
234433,I cannot stand my youngest. I love her but I can't deal with her. I've seriously thought about giving her to someone who can love her better than me....,stand youngest love deal ve thought giving love ,0,love husband sex good years,N,N,N,N,47,41,305,393
234337,"Seriously, how many times does one man need sex in a day?! I should think two would suffice...I want to sleep already, goddamnit!",times man sex day suffice sleep goddamnit ,0,love husband sex good years,N,N,N,N,49,3,281,333
234419,My husband can be the worlds biggest asshole and the best husband ever all in the same day!! My life is cccrrrraaaazzzyyyy,husband worlds biggest asshole husband day life cccrrrraaaazzzyyyy ,0,love husband sex good years,N,N,N,N,18,193,117,328
259175,"My ex husband died July 2nd while serving in the Natl Guard. We've been divorced ten years but I really miss him tonight. I never had any desire to be back with him, but I wish my son had him still.",husband died july serving natl guard ve divorced ten years miss tonight desire back son ,0,love husband sex good years,-0.6,N,0,AGREEMENT,18,193,117,328
60152,I write down my actual weight on my drivers license every 4 years when I renew it. It makes me feel good or bad about what has happened to my weight in the past 4 years.,write actual weight drivers license years renew makes feel good bad happened weight past years ,0,love husband sex good years,N,N,N,N,131,16,178,325
32662,"I have been having a lot of dreams lately about other men. Not having sex with them, but them flirting with me and paying me some attention and me thinking ""dang it! I am already married!""",lot dreams men sex flirting paying attention thinking dang married ,0,love husband sex good years,N,N,N,N,214,63,7,284
