PostID,Text,Keywords,TopicNum,TopicText,sentiment,sentiment_tag,polarity,polarity_tag,Likes,Hugs,Metoos,Overall
24713,"My husband and I decided to enact a spanking discipline plan for ME. He said it will spice up our sex life. It's working! I respect him more, Im a better wife, I behave.Or i get a spanking.It's embarrassing and stings.",husband decided enact spanking discipline plan spice sex life working respect im wife behave spanking embarrassing stings ,6,kids mom kid im child,0.15,NEU,0.6,DISAGREEMENT,164,123,5,292
40982,If you prey on married men having marriage problems and have a kid with them. Then tell them they cannot see the child unless they leave their wife you hav NO right to call him a bad father. Especially if he offers help.,prey married men marriage problems kid child leave wife hav call bad father offers ,6,kids mom kid im child,0.7,P+,0.1,AGREEMENT,256,27,0,283
48033,"I am just completely and totally over my MIL's ""advice"". And yes, I am ignoring your daily calls.",completely totally mil advice ignoring daily calls ,6,kids mom kid im child,N,N,N,N,213,50,18,281
219171,"If I don't color my hair, people think my children are my grandchildren.",don color hair people children grandchildren ,6,kids mom kid im child,N,N,N,N,266,9,3,278
11068,Thank you. It's not just me!!,None,6,kids mom kid im child,N,N,N,N,0,265,11,276
17938,I can't afford to pay my bills. Any of them.,afford pay bills ,6,kids mom kid im child,-0.4,N,0,AGREEMENT,0,272,4,276
23060,my husband has a son from a previous marriage. we have two together. he treats his oldest like he the only child. You have two more fucker! Treat all of them equally! They love u just as much as ur other child!,husband son previous marriage treats oldest child fucker treat equally love ur child ,6,kids mom kid im child,-0.1,NEU,0.9,DISAGREEMENT,3,260,4,267
198835,I'm addicted to my son's Gerber Puffs.,addicted son gerber puffs ,6,kids mom kid im child,N,N,N,N,20,8,238,266
215513,"My children drive me crazy!!!! Sometimes I think ""man I can see why people abuse their kids"" I feel bad about it but sheesh they never quit and never listen!!!!! Argh!!!!!",children drive crazy man people abuse kids feel bad sheesh quit listen argh ,6,kids mom kid im child,-0.8,N+,0,AGREEMENT,191,28,39,258
49110,"My SIL is a dumb cunt who leaves her sons with a known child molester (her brother in law) while she earns $2,000 a week. you couldnt pay me enough to leave my innocent kids w/ monster. She brags to us how much $$ she makes.",sil dumb cunt leaves sons child molester brother law earns week couldnt pay leave innocent kids monster brags makes ,6,kids mom kid im child,-0.6,N,0,AGREEMENT,3,237,14,254
